,Title,Series or Movie,COUNTRY,Release Date,VALUE,Genre,Tags,Languages,Hidden Gem Score,Country Availability,Runtime,Director,Writer,Actors,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Awards Nominated For,Boxoffice,Netflix Release Date,Production House,Summary,IMDb Votes
0,365 Days,Movie,Poland,2020-06-07,42149,"Drama, Romance","Polish Movies,Polish Dramas,Dramas,Romantic Dramas,Romantic Movies,Movies Based on Books,Steamy Romance,International Dramas,European Dramas,European Movies,Romantic European Movies","Polish, English, Italian",1.6,"Poland,Russia,United Kingdom,Slovakia,Canada,Germany,United States,Portugal,Czech Republic,South Africa,Lithuania,India,Argentina,Hungary,Australia,Switzerland,France,Japan,Mexico,Netherlands,Spain,Belgium,Brazil,Sweden,Iceland,Italy,Greece,Hong Kong,Singapore,Thailand,Israel,South Korea,Turkey,Malaysia,Colombia,Romania",1-2 hour,"Tomasz Mandes, Barbara Bialowas","Blanka Lipinska, Tomasz Klimala, Barbara Bialowas, Tomasz Mandes","Michele Morrone, Otar Saralidze, Bronislaw Wroclawski, Anna Maria Sieklucka",TV-MA,3.2,,,,,,2020-04-02,,"A fiery executive in a spiritless relationship falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him.",50125.0
1,Emily in Paris,TV,United States,2020-10-02,27138,"Comedy, Drama, Romance","Comedy Programmes,Drama Programmes,Romantic TV Comedies,Romantic TV Dramas,US TV Shows","French, English",3.5,"Canada,Lithuania,Australia,Poland,Mexico,France,Brazil,South Africa,Iceland,Italy,India,Thailand,Spain,Singapore,Hong Kong,Greece,Argentina,Czech Republic,Japan,Israel,Belgium,South Korea,Portugal,Switzerland,Hungary,United States,United Kingdom,Slovakia,Sweden,Russia,Netherlands,Germany,Turkey,Malaysia,Colombia,Romania",< 30 minutes,,Darren Star,"Philippine Leroy-Beaulieu, Lucas Bravo, Lily Collins, Ashley Park",TV-MA,7.1,,,1.0,3.0,,2020-10-02,,"After landing her dream job in Paris, Chicago marketing exec Emily Cooper embraces her adventurous new life while juggling work, friends and romance.",45000.0
2,The Umbrella Academy,TV,United States,2019-02-15,23480,"Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi","TV Sci-Fi & Fantasy,US TV Shows,TV Action & Adventure,TV Shows based on Comics",English,4.0,"Lithuania,Brazil,Israel,Spain,Slovakia,United Kingdom,Canada,Switzerland,South Africa,Czech Republic,Hong Kong,Argentina,Mexico,Belgium,United States,Japan,France,South Korea,Netherlands,Singapore,Russia,Australia,Poland,Sweden,Germany,India,Romania,Greece,Portugal,Iceland,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia",< 30 minutes,,"Jeremy Slater, Steve Blackman","Emmy Raver-Lampman, Tom Hopper, Elliot Page, David Castañeda",TV-14,8.0,,,7.0,28.0,,2019-02-15,,"Reunited by their fathers death, estranged siblings with extraordinary powers uncover shocking family secrets -- and a looming threat to humanity.",159677.0
3,Dark Desire,TV,Mexico,2020-07-15,21012,"Drama, Mystery, Thriller","TV Mysteries,Mexican TV Shows,Latin American TV Shows,TV Thrillers",Spanish,6.5,"Czech Republic,United States,Switzerland,Belgium,Russia,United Kingdom,Portugal,Netherlands,Canada,Australia,Lithuania,Mexico,Poland,Brazil,France,South Africa,India,Iceland,Thailand,Hong Kong,Italy,Singapore,Japan,Spain,Argentina,Greece,South Korea,Israel,Germany,Slovakia,Sweden,Hungary,Turkey,Malaysia,Colombia,Romania",< 30 minutes,,Leticia López Margalli,"María Fernanda Yepes, Erik Hayser, Jorge Poza, Maite Perroni",TV-MA,6.4,,,,,,2020-07-15,,"Married Alma spends a fateful weekend away from home that ignites passion, ends in tragedy and leads her to question the truth about those close to her.",3439.0
4,The Crown,TV,United Kingdom,2016-11-04,20937,"Biography, Drama, History","TV Programmes,British TV Programmes,TV Dramas",English,4.3,"Switzerland,Sweden,Netherlands,Belgium,France,Spain,Germany,Iceland,India,Portugal,Slovakia,Czech Republic,Lithuania,Russia,Greece,Romania,South Africa,Poland,Israel,Singapore,South Korea,Hong Kong,United Kingdom,United States,Mexico,Argentina,Canada,Brazil,Australia,Japan,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia",< 30 minutes,,Peter Morgan,"Olivia Colman, Imelda Staunton, Matt Smith, Claire Foy",TV-MA,8.7,,,76.0,218.0,,2016-11-04,,This drama follows the political rivalries and romance of Queen Elizabeth IIs reign and the events that shaped the second half of the 20th century.,151197.0
5,Friends,TV,United States,1994-09-22,17782,"Comedy, Romance","TV Comedies,US TV Programmes,TV Programmes,Sitcoms","English, Dutch, Italian, French",4.5,"France,Belgium,Switzerland,Hong Kong,Lithuania,United Kingdom,Russia,South Korea,South Africa,India,Thailand,Japan,Netherlands,Israel,Italy,Australia,Singapore,Greece,Malaysia,Germany",< 30 minutes,,"Marta Kauffman, David Crane","Matt LeBlanc, Courteney Cox, Jennifer Aniston, Lisa Kudrow",TV-PG,8.9,,,77.0,220.0,,2015-04-14,,"This hit sitcom follows the merry misadventures of six 20-something pals as they navigate the pitfalls of work, life and love in 1990s Manhattan.",828187.0
6,Enola Holmes,Movie,United Kingdom,2020-09-23,16427,"Action, Adventure, Crime, Drama, Mystery","Children & Family Movies,Action & Adventure,Dramas,Crime Movies,Crime Dramas,Adventures,Crime Action & Adventure,Movies Based on Books,Mysteries,Period Pieces,Family Features,Family Adventures,Historical Dramas,US Movies,Family Dramas,Historical Movies",English,3.3,"Lithuania,France,South Africa,India,Czech Republic,Hungary,United Kingdom,Russia,Germany,Poland,Spain,Mexico,South Korea,United States,Australia,Hong Kong,Japan,Canada,Singapore,Argentina,Greece,Switzerland,Slovakia,Sweden,Thailand,Belgium,Turkey,Malaysia,Brazil,Netherlands,Italy,Iceland,Portugal,Israel,Colombia,Romania",> 2 hrs,Harry Bradbeer,"Jack Thorne, Nancy Springer","Henry Cavill, Helena Bonham Carter, Millie Bobby Brown, Sam Claflin",PG-13,6.6,,68.0,,6.0,,2020-09-23,,"While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord.",127503.0
7,The Christmas Chronicles: Part Two,Movie,Canada,2020-11-25,15910,"Adventure, Comedy, Family, Fantasy","Children & Family Movies,Comedies,Action Comedies,Family Features,Family Comedies",English,2.8,"Australia,Poland,Brazil,India,Hong Kong,Japan,United States,Canada,France,Italy,Singapore,Spain,Argentina,Israel,Switzerland,Czech Republic,United Kingdom,Slovakia,Sweden,Netherlands,Germany,Thailand,Russia,Mexico,Belgium,Turkey,Malaysia,Greece,Hungary,South Korea,South Africa,Iceland,Portugal,Lithuania,Colombia,Romania",1-2 hour,Chris Columbus,"Matt Lieberman, David Guggenheim, Chris Columbus","Goldie Hawn, Julian Dennison, Kurt Russell, Darby Camp",PG,6.0,,51.0,,,,2020-11-27,,"Unhappy over her momâ€™s new relationship, a now-teenage Kate runs away and lands at the North Pole, where a naughty elf is plotting to cancel Christmas.",22901.0
8,Ratched,TV,United States,2020-09-18,15762,"Crime, Drama, Mystery, Thriller","TV Dramas,US TV Shows,TV Horror,TV Thrillers,TV Shows Based on Books,LGBTQ TV Programmes,TV Mysteries",English,3.6,"Russia,Canada,Lithuania,Australia,Poland,Mexico,Brazil,France,South Africa,India,Iceland,Thailand,Italy,Singapore,Spain,Hong Kong,Greece,Argentina,Japan,Czech Republic,Israel,South Korea,Portugal,Hungary,United Kingdom,United States,Slovakia,Netherlands,Germany,Sweden,Belgium,Switzerland,Turkey,Malaysia,Colombia,Romania",< 30 minutes,,"Ryan Murphy, Evan Romansky","Finn Wittrock, Cynthia Nixon, Judy Davis, Sarah Paulson",TV-MA,7.3,,,,6.0,,2020-09-20,,"In 1947, Mildred Ratched begins working as a nurse at a leading psychiatric hospital. But beneath her stylish exterior lurks a growing darkness.",38246.0
9,Dark,TV,Germany,2017-12-01,14794,"Crime, Drama, Mystery, Sci-Fi, Thriller","Sci-Fi & Fantasy Programmes,Drama Programmes,TV Programmes,Crime TV Dramas,Crime Programmes,Thriller Programmes",German,4.4,"Lithuania,Brazil,Spain,United Kingdom,Argentina,France,Singapore,Germany,Canada,Netherlands,Sweden,Czech Republic,India,Australia,Poland,Hong Kong,United States,Russia,Slovakia,Israel,Japan,Romania,Mexico,South Korea,Belgium,Greece,Switzerland,Portugal,South Africa,Iceland,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia",< 30 minutes,,"Baran bo Odar, Jantje Friese","Lisa Vicari, Karoline Eichhorn, Louis Hofmann, Maja Schöne",TV-MA,8.8,,,6.0,20.0,,2017-12-01,,A missing child sets four families on a frantic hunt for answers as they unearth a mind-bending mystery that spans three generations.,283756.0
